charge_event_id,SE_id,pev_id,pev_type,start_time,end_time_chg,end_time_prk,dest_type,soc_i,soc_f,ES_strategy,VS_strategy,Ext_strategy
222277,619,103599,bev150_150kW,130.5805556,132.8305556,132.8305556,WORK,0.397438231,0.694438231,NA,NA,ext0001q
222278,103736,103736,bev300_300kW,116.9294444,121.0936111,131.8358333,HOME,0.53873026,1,NA,NA,ext0001q
222279,104387,104387,phev_SUV,15.98972222,24.87083333,32.18333333,HOME,0.528820794,1,NA,NA,ext0001q
222280,104387,104387,phev_SUV,41.57222222,49.76611111,55.6775,HOME,0.565281371,1,NA,NA,ext0001q
222281,104387,104387,phev_SUV,89.03611111,98.15444444,103.6102778,HOME,0.516246499,1,NA,NA,ext0001q
222287,103669,103669,bev150_150kW,43.17638889,48.23666667,56.37861111,HOME,0.858312118,1,NA,NA,ext0001q
222288,103669,103669,bev150_150kW,70.85194444,72.63861111,81.50972222,HOME,0.606873993,1,NA,NA,ext0001q
222289,103669,103669,bev150_150kW,90.03944444,91.19388889,104.2266667,HOME,0.745987717,1,NA,NA,ext0001q
222290,103669,103669,bev150_150kW,118.8397222,120.2080556,129.5747222,HOME,0.69893253,1,NA,NA,ext0001q
222291,103669,103669,bev150_150kW,164.8847222,166.9552778,175.9013889,HOME,0.544448707,1,NA,NA,ext0001q
222297,104098,104098,bev300_575kW,20.51944444,29.74916667,29.74916667,HOME,0.546242323,0.627852498,NA,NA,ext0001q
222298,104098,104098,bev300_575kW,141.6738889,157.0722222,157.0719444,HOME,0.53380391,0.669957594,NA,NA,ext0001q
222302,104253,104253,phev50,16.31361111,20.93833333,28.80555556,HOME,0.624045047,1,NA,NA,ext0001q
222303,104253,104253,phev50,40.73027778,45.19583333,53.305,HOME,0.636973347,1,NA,NA,ext0001q
222304,104253,104253,phev50,88.83666667,94.51333333,101.4641667,HOME,0.538536311,1,NA,NA,ext0001q
222305,104253,104253,phev50,135.0647222,140.3288889,153.2297222,HOME,0.572059203,1,NA,NA,ext0001q
222306,104253,104253,phev50,156.8519444,159.3497222,178.5266667,HOME,0.796942299,1,NA,NA,ext0001q
222314,104033,104033,bev300_575kW,19.28666667,23.04777778,28.9975,HOME,0.548640428,1,NA,NA,ext0001q
222320,103794,103794,bev300_400kW,67.02055556,71.47194444,80.36555556,HOME,0.506912721,1,NA,NA,ext0001q
222321,104204,104204,bev300_575kW,39.83611111,59.91055556,59.91055556,HOME,0.541749051,0.719249402,NA,NA,ext0001q
222322,104204,104204,bev300_575kW,141.7247222,145.6805556,151.3947222,HOME,0.525268161,1,NA,NA,ext0001q
222323,104204,104204,bev300_575kW,162.6561111,169.6002778,175.7688889,HOME,0.166672877,1,NA,NA,ext0001q
222325,104008,104008,bev300_575kW,159.0958333,176.0308333,176.0311111,HOME,0.525785417,0.675528925,NA,NA,ext0001q
222332,104258,104258,phev50,17.39861111,19.79944444,33.68805556,HOME,0.804833909,1,NA,NA,ext0001q
